"행정구역","2019년_계_총인구수","2019년_계_연령구간인구수","2019년_계_0~9세","2019년_계_10~19세","2020년_계_총인구수","2020년_계_연령구간인구수","2020년_계_0~9세","2020년_계_10~19세","2021년_계_총인구수","2021년_계_연령구간인구수","2021년_계_0~9세","2021년_계_10~19세","2022년_계_총인구수","2022년_계_연령구간인구수","2022년_계_0~9세","2022년_계_10~19세","2023년_계_총인구수","2023년_계_연령구간인구수","2023년_계_0~9세","2023년_계_10~19세","2024년_계_총인구수","2024년_계_연령구간인구수","2024년_계_0~9세","2024년_계_10~19세"
"전국  (0000000000)","51,849,861","9,125,924","4,166,914","4,959,010","51,829,023","8,763,406","3,970,070","4,793,336","51,638,809","8,469,666","3,760,350","4,709,316","51,439,038","8,235,838","3,532,642","4,703,196","51,325,329","7,984,352","3,332,892","4,651,460","51,217,221","7,759,383","3,140,118","4,619,265"
"서울특별시  (1100000000)","9,729,107","1,482,264","662,693","819,571","9,668,465","1,405,611","623,745","781,866","9,509,458","1,339,819","583,683","756,136","9,428,372","1,294,435","545,317","749,118","9,386,034","1,246,773","513,562","733,211","9,331,828","1,204,547","483,780","720,767"
"부산광역시  (2600000000)","3,413,841","526,561","243,321","283,240","3,391,946","504,370","232,356","272,014","3,350,380","485,716","219,611","266,105","3,317,812","472,311","206,377","265,934","3,293,362","457,742","194,403","263,339","3,266,598","444,588","181,736","262,852"
"대구광역시  (2700000000)","2,438,031","425,510","188,312","237,198","2,418,346","404,124","178,226","225,898","2,385,412","386,360","167,823","218,537","2,363,691","375,262","157,730","217,532","2,374,960","364,524","150,403","214,121","2,363,629","354,666","142,228","212,438"
"인천광역시  (2800000000)","2,957,026","525,651","242,400","283,251","2,942,828","502,796","228,634","274,162","2,948,375","488,515","217,384","271,131","2,967,314","481,682","208,942","272,740","2,997,410","474,408","202,329","272,079","3,021,010","467,772","195,196","272,576"
"광주광역시  (2900000000)","1,456,468","290,950","126,519","164,431","1,450,062","276,836","119,692","157,144","1,441,611","266,469","114,065","152,404","1,431,050","257,834","106,977","150,857","1,419,237","247,304","99,779","147,525","1,408,422","238,255","92,837","145,418"
"대전광역시  (3000000000)","1,474,870","275,008","121,829","153,179","1,463,882","260,965","114,529","146,436","1,452,251","249,723","107,548","142,175","1,446,072","242,521","102,233","140,288","1,442,216","234,563","96,727","137,836","1,439,157","227,126","91,513","135,613"
"울산광역시  (3100000000)","1,148,019","221,104","104,371","116,733","1,136,017","210,926","98,506","112,420","1,121,592","202,008","92,018","109,990","1,110,663","195,263","85,061","110,202","1,103,661","188,548","79,086","109,462","1,098,049","182,467","73,097","109,370"
"세종특별자치시  (3600000000)","340,575","87,286","47,249","40,037","355,831","89,960","47,283","42,677","371,895","92,857","47,063","45,794","383,591","94,953","45,951","49,002","386,525","94,277","43,541","50,736","390,685","93,890","41,351","52,539"
"경기도  (4100000000)","13,239,666","2,540,452","1,184,990","1,355,462","13,427,014","2,474,198","1,145,984","1,328,214","13,565,450","2,420,932","1,099,927","1,321,005","13,589,432","2,368,680","1,040,954","1,327,726","13,630,821","2,310,181","989,550","1,320,631","13,694,685","2,258,295","939,988","1,318,307"
"강원도  (4200000000)","1,541,502","253,355","109,556","143,799","1,542,840","243,106","105,598","137,508","1,538,492","234,856","100,971","133,885","1,536,498","228,169","96,036","132,133","0","0","0","0","0","0","0","0"
"강원특별자치도  (5100000000)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1,527,807","219,925","90,872","129,053","1,517,766","212,406","85,769","126,637"
"충청북도  (4300000000)","1,600,007","283,642","129,285","154,357","1,600,837","272,750","123,371","149,379","1,597,427","263,386","116,975","146,411","1,595,058","255,292","109,410","145,882","1,593,469","247,779","103,333","144,446","1,591,177","240,833","97,837","142,996"
"충청남도  (4400000000)","2,123,709","390,093","181,907","208,186","2,121,029","375,176","172,628","202,548","2,119,257","363,399","162,726","200,673","2,123,037","354,797","152,498","202,299","2,130,119","345,828","143,771","202,057","2,136,574","337,103","135,316","201,787"
"전라북도  (4500000000)","1,818,917","319,555","137,083","182,472","1,804,104","303,655","128,692","174,963","1,786,855","289,801","119,673","170,128","1,769,607","277,941","110,400","167,541","1,754,757","266,786","102,482","164,304","0","0","0","0"
"전북특별자치도  (5200000000)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1,738,690","256,451","95,081","161,370"
"전라남도  (4600000000)","1,868,745","314,691","139,429","175,262","1,851,549","299,510","132,202","167,308","1,832,803","286,860","123,712","163,148","1,817,697","276,455","114,889","161,566","1,804,217","266,659","107,726","158,933","1,788,819","257,806","101,368","156,438"
"경상북도  (4700000000)","2,665,836","435,932","200,184","235,748","2,639,422","415,485","189,561","225,924","2,626,609","400,479","178,515","221,964","2,600,492","385,698","165,119","220,579","2,554,324","369,237","151,926","217,311","2,531,384","356,011","140,258","215,753"
"경상남도  (4800000000)","3,362,553","619,457","285,500","333,957","3,340,216","592,980","268,766","324,214","3,314,183","570,130","250,669","319,461","3,280,493","548,866","229,942","318,924","3,251,158","527,946","211,999","315,947","3,228,380","509,149","195,007","314,142"
"제주특별자치도  (5000000000)","670,989","134,413","62,286","72,127","674,635","130,958","60,297","70,661","676,759","128,356","57,987","70,369","678,159","125,679","54,806","70,873","675,252","121,872","51,403","70,469","670,368","118,018","47,756","70,262"
