"행정구역","2024년_계_총인구수","2024년_계_연령구간인구수","2024년_계_0~9세","2024년_계_10~19세"
"전국  (0000000000)","51,217,221","7,759,383","3,140,118","4,619,265"
"서울특별시  (1100000000)","9,331,828","1,204,547","483,780","720,767"
"부산광역시  (2600000000)","3,266,598","444,588","181,736","262,852"
"대구광역시  (2700000000)","2,363,629","354,666","142,228","212,438"
"인천광역시  (2800000000)","3,021,010","467,772","195,196","272,576"
"광주광역시  (2900000000)","1,408,422","238,255","92,837","145,418"
"대전광역시  (3000000000)","1,439,157","227,126","91,513","135,613"
"울산광역시  (3100000000)","1,098,049","182,467","73,097","109,370"
"세종특별자치시  (3600000000)","390,685","93,890","41,351","52,539"
"경기도  (4100000000)","13,694,685","2,258,295","939,988","1,318,307"
"강원특별자치도  (5100000000)","1,517,766","212,406","85,769","126,637"
"충청북도  (4300000000)","1,591,177","240,833","97,837","142,996"
"충청남도  (4400000000)","2,136,574","337,103","135,316","201,787"
"전북특별자치도  (5200000000)","1,738,690","256,451","95,081","161,370"
"전라남도  (4600000000)","1,788,819","257,806","101,368","156,438"
"경상북도  (4700000000)","2,531,384","356,011","140,258","215,753"
"경상남도  (4800000000)","3,228,380","509,149","195,007","314,142"
"제주특별자치도  (5000000000)","670,368","118,018","47,756","70,262"
