"소재지(시군구)별",2022,2023,2024
"전국",17791754999,17589843385,17639470771
"서울특별시",605672952,605673772,605748896
"부산광역시",940844566,940825056,940825056
"대구광역시",801033747,808195732,808209312
"인천광역시",527855326,512816173,513676030
"광주광역시",479890096,479838049,479818783
"대전광역시",496123890,496123890,496123742
"울산광역시",764212886,671649337,677663085
"세종특별자치시",141833041,141833041,142568912
"경기도",3386898994,3370827754,3397055790
"강원특별자치도",1030008274,1004738631,1005224851
"충청북도",738111394,745234827,749682557
"충청남도",919129887,921188502,925747110
"전북특별자치도",884641960,884488242,884608380
"전라남도",1720488398,1655892649,1659834157
"경상북도",1877732907,1870996639,1871445830
"경상남도",2007539323,2009783733,2008982154
"제주특별자치도",469737358,469737358,472256126
